question,answer,Qwen-plus,qwen3-8b,deepseek-r1
"ما هو المثل الذي استخدمه الرسول لوصف كيف سيهاجم الأعداء المسلمين؟
",مثل الأكلة إلى قصعتها,"المثل الذي استخدمه النبي محمد ﷺ لوصف كيف سيهاجم الأعداء المسلمين هو مثل **""الذئب مع الغنم""**.

فقد ورد في الحديث الشريف أن النبي ﷺ قال:  
*""يُوشِكُ أَقْوَامٌ أَنْ يَحْمِلُوا السِّلَاحَ بَيْنَ ظَهْرَانَيْكُمْ، يَطْلُبُونَ دِمَاءَكُمْ وَأَمْوَالَكُمْ، كَمَا يَطْلُبُ الذِّئْبُ فَرِيسَتَهُ.""*  
(رواه ابن ماجه وغيره).

هذا التشبيه يوضح كيفية هجوم الأعداء على المسلمين بشكل مفاجئ وشرس، كما يفعل الذئب حين يهاجم الغنم بلا رحمة أو تردد. وهو تحذير من ضرورة اليقظة والحذر من قبل المسلمين أمام المخاطر التي قد تتربص بهم.","الإجابة:  
المثل الذي استخدمه الرسول ﷺ لوصف كيف سيهاجم الأعداء المسلمين هو: **""يربضوا حتى يأقسى الله يأترِوء""**.  
ويعني هذا المثل أن الأعداء سيستمرون في العدوان حتى يلجأ الله إلى العقاب الشديد، ويُظهر قدرته على التصدي لهم.","المثل الذي استخدمه الرسول ﷺ لوصف هجوم الأعداء على المسلمين ورد في حديث رواه **أبو هريرة رضي الله عنه**، حيث شبَّه الأعداء في تجمعهم على المسلمين بمن يَتسابقون على الأكل من قصعة طعام، مع ضعف تماسك المسلمين في ذلك الوقت.  
وجاء الحديث في **صحيح البخاري** و**صحيح مسلم**، ونصه:  
> «يَتَقَارَبُ الزَّمَانُ، وَيَنْقُصُ العَمَلُ، وَيُلْقَى الشُّحُّ، وَتَظْهَرُ الفِتَنُ، وَيَكْثُرُ الهَرْجُ». قَالُوا: وَمَا الهَرْجُ؟ قَالَ: «القَتْلُ القَتْلُ، حَتَّى لَا يَدْرِي القَاتِلُ فِيمَ قَتَلَ، وَلاَ المَقْتُولُ فِيمَ قُتِلَ». ثُمَّ قَالَ: «لَتُبَاعَثُنَّ عَلَيْكُمْ أُمَمٌ كَأَنَّهُمْ أُكُلَةُ كُسَءٍ، يَقُولُ أَحَدُهُمْ: قَدْ أَكَلَ جُشَّاءُ قَوْمٍ».  
(وفي رواية: «**تَجِيءُ الْأُمَمُ فَتُعْرَضُ عَلَيْكُمْ كَأَنَّهَا سَرَابِيلُ**»).  

**التفسير:**  
شبَّه النبي ﷺ الأعداء في زحفهم على المسلمين بالأمم التي تتجمع كالجياع حول قصعة الطعام، في تنافس وشراهة، مما يدل على:  
1. كثرة الأعداء وتوحدهم ضد المسلمين.  
2. ضعف المسلمين في ذلك الزمان (من حيث التماسك أو القوة).  
3. التحذير من التفرق وترك التمسك بالدين، وهو سبب رئيسي في ضعف الأمة.  

**العبرة:**  
الحديث يُحذر من الفتن الداخلية والتخلي عن مبادئ الإسلام، مما يجعل الأمة عُرضة لهجوم الأعداء، ويؤكد على أهمية الوحدة والثبات على الحق."
"ما هي الكلمات التي يجب أن يقولها المصلي عند القعدة حسب حديث أبوموسى الأشعري؟
",التحيات الطيبات الصلوات لله؛ السلام عليك أيها النبي ورحمة الله وبركاته؛ السلام علينا وعلى عباد الله الصالحين؛ أشهد أن لا إله إلا الله وأشهد أن محمداً عبده ورسوله,"حسب حديث أبي موسى الأشعري، فإن الكلمات التي يجب أن يقولها المصلي عند القعدة هي:

**""التحيات الطيبات الصلوات لله. السلام عليك أيها النبي ورحمة الله وبركاته. السلام علينا وعلى عباد الله الصالحين. أشهد أن لا إله إلا الله وأشهد أن محمداً عبده ورسوله.""**

وقد اتفق أهل العلم على جواز هذه الصيغ كلها، فمهما منها قاله المصلي فقد أجزأه.","الإجابة:  
يجب على المصلي أن يقول عند القعدة ما يلي حسب حديث أبوموسى الأشعري:

- التحيات الطيبات الصلوات لله  
- السلام عليك أيها النبي ورحمة الله وبركاته  
- السلام علينا وعلى عباد الله الصالحين  
- أشهد أن لا إله إلا الله وأشهد أن محمداً عبده ورسوله  

وقد اتفق أهل العلم على جواز هذه الصيغ كلهاء، فأيهى قال المصلي أجزأه.","الإجابة:  
حسب حديث أبي موسى الأشعري رضي الله عنه، يُشرع للمصلي أن يقول في القعدة:  
**""التَّحِيَّاتُ الطَّيِّبَاتُ الصَّلَوَاتُ لِلَّهِ؛ السَّلَامُ عَلَيْكَ أَيُّهَا النَّبِيُّ وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ؛ السَّلَامُ عَلَيْنَا وَعَلَى عِبَادِ اللَّهِ الصَّالِحِينَ؛ أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ""**.  

وقد اتفق الفقهاء على جواز هذه الصيغة وغيرها من صيغ التشهد الواردة في السنة، فمن أتى بأي منها أجزأه، مع الأفضلية للالتزام بما ورد عن النبي صلى الله عليه وسلم بصيغته الصحيحة.  

---

**تنبيه:**  
- الصيغة المذكورة في الحديث تختلف عن تشهد ابن مسعود المشهور (مثل: ""التَّحِيَّاتُ لِلَّهِ..."")، لكن كلا الصيغتَين صحيحتَين.  
- يُنصح بمراجعة روايات الحديث بألفاظها الصحيحة من مصادرها المعتمدة؛ لضبط الصيغة بدقة."
"ما هو الحكم الشرعي إذا زوج الرجل ابنته وهي كارهة؟
",الزواج مردود.,"الزواج بغير رضا الابنة البالغة العاقلة considered غير مشروع في الإسلام. لأن الزواج عقد يتطلب موافقة الطرفين، ورضا المرأة من أساسيات صحة الزواج.

ومن الأدلة على ذلك حديث ابن عباس رضي الله عنهما أن امرأة جاءت إلى النبي صلى الله عليه وسلم فقالت: ""يا رسول الله، إني كنت قد زوجني أبي وهو علي كاره، فقضى لها الرسول بالاختيار لنفسها"".

أما بالنسبة للقاصر أو المجنونة، فإن ولي الأمر يخطب ويقبل بالنيابة عنها، ولكن عندما تصل لسن الرشد أو تعود لعقلها，则 لها الحق في قبول أو رفض هذا الزواج.

وبالتالي إذا زوج الرجل ابنته وهي كارهة بدون وجه حق شرعي يكون هذا الزواج باطلاً أو يمكن للمرأة الفسخ إذا كانت بالغة عاقلة. 

والطلاق أو المخالعة كما في النصوص التي ذكرتها تكون حلاً بعد الزواج إذا كان هناك خلافات لا يمكن حلها بين الزوجين. لكن قبل العقد، يجب أخذ موافقة الفتاة كأساس.","الحكم الشرعي في حالة زواج الرجل ابنته وهي كارهة هو **الإبطال**، أي أن هذا الزواج لا يُعتبر شرعًا، ويُعد من **الخيانة في العقد**، وهو من المحرمات في الشريعة الإسلامية.

والدليل على ذلك قول الله تعالى:  
**(وَلَا تَنكِحُوا الْمُشْرِكَاتِ حَتَّى تَغْلِبُوهُنَّ وَإِنْ أَحَدٌ مِنْكُمْ لَيَأْسَى وَيَتَوَلَّى وَيَقْعُدْ فِي الْمَجْلِسِ) [البقرة: 221]**  
فهذا النص يدل على أنه لا يحل للرجل أن يتزوج امرأة إلا إذا أسلمت أو طلبت الإسلام، كما أنه لا يحل له أن يتزوج ابنة عشيرته أو ابنة إخوانه أو أخواته أو غيرها من النساء دون إذن أو رضا منها.

ومن الأحاديث أيضًا:  
قال رسول الله ﷺ:  
**(لا تَزَوِّجُوا ابْنَتَكُمْ عَلَى الْكُفْرَانِ، وَلا تَزَوِّجُوا ابْنَكُمْ عَلَى الْكُفْرَانِ)**  
أي لا يحل لكم أن تتزوجوا بناتكم أو сыновكم من الكفار دون إذن أو رضا.

ولذلك، فإن زواج المرأة دون موافقتها أو رضاها، خاصة في حالة كرهها، يعتبر **غير شرعي**، ويجب إبطاله وفقًا للقانون والشرع.","الجواب:  
الحمد لله رب العالمين، والصلاة والسلام على رسول الله.  

**الحكم الشرعي في تزويج المرأة الكارهة للزواج:**  
إذا زوَّج الرجل ابنته البالغة العاقلة وهي كارهة للزواج دون رضاها، فإن هذا العقد **غير صحيح** في المذاهب الفقهية التي تشترط رضا المرأة، كالمالكية والشافعية والحنابلة، وذلك استناداً إلى قول النبي صلى الله عليه وسلم: «لا تُنكَحُ الأَيِّمُ حتى تُستأمَرَ، ولا البِكرُ حتى تُستأذَنَ»، قيل: يا رسول الله، وكيف إذنها؟ قال: «أنْ تَسْكُتَ» (رواه البخاري ومسلم). فالسكوت هنا دليل الرضا، وأما الإكراه فيبطل العقد.  

أما في المذهب الحنفي: فإن للأب حق تزويج ابنته البكر دون رضاها إن كان الزوج كفؤاً، لكن يُكره إجبارها إذا أظهرت الكراهة. ومع ذلك، فإن الرأي الراجح في المذاهب المعتمدة اليوم (كدار الإفتاء المصرية وهيئات كبار العلماء) يُقوِّي اشتراط رضا المرأة، ولو كانت بكراً، عملاً بالأدلة العامة في النصوص التي تحفظ حقها في الاختيار.  

**التفصيل:**  
- إذا كانت الابنة **بالغة عاقلة** وأُجبرت على الزواج، فلها حق فسخ العقد، ولو بعد الدخول، لأن العقد أُبرم بغير رضاها.  
- إن كانت قاصرة (غير بالغة)، فالأصل أن للأب تزويجها بمصلحتها، لكن يشترط أن لا يضر بها، فإن ظهر ضررٌ جسيم جاز للقضاء فسخ النكاح.  

**الدليل من السياق المذكور:**  
حديث امرأة ثابت بن قيس الذي أشار إليه السائل يُظهر أن الإسلام يحترم رغبة المرأة في إنهاء الزواج إذا كرهت معاشرة زوجها، مما يعزز مبدأ رضاها في بدء العلاقة الزوجية أصلاً.  

والله أعلم."
"كم مرة تكون صلاة الجماعة أفضل من صلاة الفذ؟
",سبع وعشرين درجة,صلاة الجماعة أفضل من صلاة الفذ **بسبع وعشرين درجة**، كما هو مذكور في النص المقدم.,"الإجابة:  
صلاة الجماعة أفضل من صلاة الفذ بسبع وعشرين درجة.","الإجابة:  
صلاة الجماعة أفضل من صلاة الفذ **بسبع وعشرين درجة**، كما ورد في الحديث النبوي الشريف المتفق عليه.  

**تصويب الأخطاء في النص:**  
- ""د رحا"" تصحَّح إلى **درجة**.  
- ""متغق عليه"" تصحَّح إلى **متفق عليه** (أي رواه البخاري ومسلم).  
- ""خرجه سم"" يُقصد بها **خرَّجه مسلم**، أو يُحتمل أن تكون اختصارًا لـ""سند متصل معتمد"".  

والله أعلم."
"ما هي العبادة التي جاء بها جميع الأنبياء؟
",عبادة الله وحده,"العبادة التي جاء بها جميع الأنبياء هي **توحيد الله عز وجل**. التوحيد هو الأساس الذي بنيت عليه رسالات جميع الأنبياء والمرسلين، وهو أعظم ما دعوا إليه الناس. قال الله تعالى في القرآن الكريم:  

> *وَلَقَدْ بَعَثْنَا فِي كُلِّ أُمَّةٍ رَسُولًا أَنِ اُعْبُدُوا اللَّهَ وَاجْتَنِبُوا الطَّاغُوتَ* [النحل: 36].

فالأنبياء كلهم came ليدعوا الناس إلى عبادة الله وحده دون شريك، وإلى نبذ الشرك بأنواعه. سواء كان ذلك في صورة عبادات محددة كالصلاة، الزكاة، الصيام، أو الحج، أو في صورة تعليم الناس كيف يعيشون حياتهم بما يرضي الله من خلال الأخلاق الحسنة والأعمال الصالحة.

إذن، التوحيد هو العبادة الجامعة التي جاءت بها جميع الرسالات السماوية، وهو الغاية الكبرى التي خلق من أجلها الإنسان، كما قال الله تعالى:  
> *وَمَا خَلَقْتُ الْجِنَّ وَالْإِنسَ إِلَّا لِيَعْبُدُونِ* [الذاريات: 56]. 

والعبادة هنا تشمل كل ما يحبه الله ويرضاه من القول والعمل، الداخلي والظاهري.","الإجابة:  
العبادة التي جاء بها جميع الأنبياء هي عبادة الله وحده، وعدم إشراك أحد معه في العبدية.","العبادة التي جاء بها جميع الأنبياء - عليهم السلام - هي **التوحيد الخالص لله تعالى**، أي إفراد الله بالعبادة وعدم الإشراك به شيئًا. هذا هو الأصل الجامع الذي اتفقت عليه رسالات جميع الأنبياء والرسل، من آدم إلى محمد صلى الله عليهم وسلم أجمعين. 

### الأدلة من القرآن الكريم:
1. ﴿وَلَقَدْ بَعَثْنَا فِي كُلِّ أُمَّةٍ رَسُولًا أَنِ اعْبُدُوا اللَّهَ وَاجْتَنِبُوا الطَّاغُوتَ﴾ (النحل: 36).  
2. ﴿وَمَا أَرْسَلْنَا مِنْ قَبْلِكَ مِنْ رَسُولٍ إِلَّا نُوحِي إِلَيْهِ أَنَّهُ لَا إِلَهَ إِلَّا أَنَا فَاعْبُدُونِ﴾ (الأنبياء: 25).  

### توضيح:
- **التوحيد** هو أساس دعوة الأنبياء جميعًا، وإن اختلفت شرائعهم في التفاصيل (كالصلاة، الصوم، وغيرها من العبادات العملية).  
- كل نبي بعث لقومه يدعوهم لترك عبادة الأوثان أو الطواغيت، ويوجههم لعبادة الله وحده.  
- حتى الأنبياء الذين بُعثوا إلى بني إسرائيل (ك موسى وعيسى عليهم السلام) جاءوا بالتوحيد، لكنّ بعض الشرائع تغيرت بحسب الزمان والمكان.  

فالعبادة الجامعة هي: إخلاص القلب والجوارح لله، والبراءة من الشرك بجميع أشكاله. هذا هو جوهر الدين الذي لم يتغير عبر الرسالات السماوية."
"ما هو التعبير الذي ورد في القرآن الكريم يأمر الله فيه نبيه بالعفو والإعراض عن الجاهلين؟
",خذ العفو وأمر بالعرف وأعرض عن الجاهلين,"العبارة التي وردت في القرآن الكريم تأمر الله فيها نبيه بالعفو والإعراض عن الجاهلين هي قوله تعالى: **""وَإِذَا خَاطَبَكَ الْجَاهِلُونَ فَقُولْ سَلَامٌ ۚ أَنتُمْ قَوْمٌ مُّنذَرُونَ""** (سورة القلم: آية 68).

ومع ذلك، إذا كنت تقصد الآية الشهيرة التي تتحدث عن العفو والإعراض بشكل عام، فهي قوله تعالى: **""وَعِظْهُمْ وَقُلْ لَهُمْ فِي أَنفُسِهِمْ قَوْلًا بَلِيغًا * وَاعْفُ عَنْهُمْ وَاصْفَحْ ۚ أَلَا تُحِبُّ أَن يَغْفِرَ اللَّهُ لَكَ ۚ وَاللَّهُ غَفُورٌ رَحِيمٌ""** (سورة النساء: آيات 63-64).

هذه الآيات تعبر عن حكمة الإسلام في التعامل مع الجهل والجهالات من خلال العفو والإعراض، وهو ما يعكس رحمة الله سبحانه وتعالى بالناس. 

وبالتالي، الإجابة الصحيحة تعتمد على السياق المقصود، ولكن العبارة الأكثر شيوعًا في هذا الموضوع هي: **""وَاعْفُ عَنْهُمْ وَاصْفَحْ"".**","الإجابة: **""وَمَا كنا مُعَدَّينَ حَيْ تَبَحَّثَ رَسُولاً""** (سورة الإسراء، الآية 6).

هذا التعبير ورد في القرآن الكريم وهو يدل على أن الله عز وجل لا يعذب أحداً إلا بعد قيام الحجة عليه وإرسال الرسول إليه، وهو يعكس مبدأ العفو والإعراض عن الجاهلين الذين لم يبلغهم الدعوة أو لم يدركوا الحق.","الإجابة: التعبير الذي ورد في القرآن الكريم يأمر الله فيه نبيه بالعفو والإعراض عن الجاهلين هو قوله تعالى: **﴿خُذِ الْعَفْوَ وَأْمُرْ بِالْعُرْفِ وَأَعْرِضْ عَنِ الْجَاهِلِينَ﴾** (سورة الأعراف: 199). 

وهذه الآية تُوجِّه النبي محمدًا صلى الله عليه وسلم إلى التزام العفو في التعامل، والأمر بالمعروف، وتجنب مُجادلة الجاهلين أو الرد عليهم بطريقة غير حكيمة، مما يعكس منهجًا رفيعًا في التعامل مع الناس."
"ما هي الأمور التي يمقتها الله ورسوله عند النياحة على الميت؟
",الأمور التي يمقتها الله ورسوله عند النياحة على الميت تشمل ولطم الخدود وإظهار الجزع والتسخط.,"الأمور التي يمقتها الله ورسوله عند النياحة على الميت تتضمن:

1. **النياحة على الميت:** وهي البكاء بصوت عالٍ مع الترنيم بكلمات تُظهر الحزن المفرط أو الشكوى من قضاء الله.

2. **لطم الخدود:** وهو أن يضرب الإنسان خدَّيه بيديه بسبب الحزن الزائد على الميت.

3. **شق الجيوب:** أي تمزيق الثياب إظهارًا للحزن المبالغ فيه.

4. **إظهار الجزع والتسخط:** بأن يعبّر الشخص عن عدم الرضا بقضاء الله وقدره، وهذا من الأمور التي كانت سائدة في الجاهلية ويمقتها الإسلام.

5. **الصالقة والحالقة والشاقة:**
   - **الصالقة:** هي التي ترقع صوتها بالبكاء (أي ترفع صوتها بطريقة مبالغ فيها).
   - **الحالقة:** هي التي تحلق رأسها عند الموت.
   - **الشاقة:** هي التي تشق ثيابها حزناً على الميت.

كل هذه الأمور قد برئ منها رسول الله ﷺ، وأمرنا بالصبر والاحتساب وعدم إدخال الشيطان إلى البيوت بأعمال تتنافى مع تعليمات الإسلام. كما قال النبي ﷺ: ""ليس منا من لطم الخدود، وشق الجيوب، ودعا بدعوى الجاهلية"". 

والخلاصة أن الإسلام يدعو إلى الصبر الجميل والرضا بقضاء الله وقدره، ويحرم كل ما يعبر عن الجزع أو التسخط من أمر الله.","الإجابة:  
الأمور التي يمقتها الله ورسوله عند النياحة على الميت هي النياحة على الميت، ولطم الخدود، واظهار الجزع والتسخط، وهي من أفعال الجاهلية التي نهى عنها النبي ﷺ. وقد ذكر النبي ﷺ في حديث متفق عليه: ""ليس منا من لطم الخدود؛ وشق الجيوب؛ ودعا بدعوى الجاهلية""، مما يدل على تحريم هذه الأمور واعتبارها من الشرك بالله أو من الأفعال التي تُبعد عن سنة النبي ﷺ.","**الإجابة:**  
الأمور التي يمقتها الله ورسوله عند النياحة على الميت، وفقًا للنصوص الواردة، هي:  

1. **النياحة على الميت**: وهي رفع الصوت بالبكاء والعويل.  
2. **لَطْمُ الخُدود**: ضرب الوجه أو الخدود تعبيرًا عن الحزن.  
3. **شَقُّ الجُيوب**: تمزيق الثياب أو قطعها.  
4. **الدعاء بدعوى الجاهلية**: مثل نداءات الحزن التي كانت تُستخدم في الجاهلية (كقول ""وا مصيبتاه"").  
5. **الصَّالِقَة**: وهي المرأة التي ترفع صوتها بالبكاء والنواح.  
6. **الحَالِقَة**: التي تحلق شعر رأسها حدادًا على الميت.  
7. **الشَّاقَّة**: التي تشق ثيابها أو جيبها (تمزيق الملابس).  

**دليل ذلك:**  
- حديث النبي ﷺ: «لَيْسَ مِنَّا مَنْ لَطَمَ الْخُدُودَ، وَشَقَّ الْجُيُوبَ، وَدَعَا بِدَعْوَى الْجَاهِلِيَّةِ» (متفق عليه).  
- قوله ﷺ: «أَنَا بَرِيءٌ مِمَّنْ بَرِئَ مِنْهُ رَسُولُ اللهِ، إِنَّ رَسُولَ اللهِ بَرِيءٌ مِنَ الصَّالِقَةِ، وَالْحَالِقَةِ، وَالشَّاقَّةِ» (متفق عليه).  
- النهي عن إدخال الشيطان إلى البيت بالبكاء المذموم، كما في قصة أم سلمة.  

فهذه الأفعال من عادات الجاهلية المُحَرَّمَة، وتتنافى مع الصبر الشرعي الذي أوجبه الإسلام عند المصائب."
"ما هي المواقيت التي حددها النبي صلى الله عليه وسلم لأهل المدينة واليمن ونجد ومصر والشام؟
",أهل المدينة ذا الحليفة، وأهل اليمن يلملم، وأهل نجد قرن المنازل، وأهل مصر والشام الجحفة.,"النبي صلى الله عليه وسلم حدد مواقيت الإحرام للحج والعمرة كما يلي:

1. **لأهـل المدينة**: *ذا الحليفة*.
2. **لأهـل اليمن**: *يلملم*.
3. **لأهـل نجد**: *قرن المنازل* (ثم أُخذ بدلاً منها ""حذو قرن"" لتسهيل الأمر على أهل مصر، لأن قرن المنازل بعيد عن طريقهم).
4. **لأهـل الشام**: *الجحفة*.

أما بالنسبة لأهل مصر، فقد كان المقصود بمواقيت أهل نجد (قرن المنازل) صعب الوصول对他们 بسبب البعد والجهة المختلفة، فعند فتح مصر تمت مراجعة عمر بن الخطاب رضي الله عنه، فأمر بأن يتم النظر في ""حذو قرن""، وهو الموضع الأنسب لأهل مصر ليكون موقعاً للمواقيت بدلاً من قرن المنازل.

**خلاصة:**
- أهل المدينة: ذا الحليفة.
- أهل اليمن: يلملم.
- أهل نجد: قرن المنازل (وحذو قرن لأهل مصر تسهيلاً).
- أهل الشام: الجحفة. 

والله أعلم.","الإجابة:

حدد النبي صلى الله عليه وسلم المواقيت التالية لأهل كل من المدينة واليمن ونجد والشام:

- **لأهل المدينة**: ذا الحليفة.
- **لأهل الشام**: الجحفة.
- **لأهل نجد**: رن المنازل.
- **لأهل اليمن**: يلملم (ومن معهم من غير أهلهن من أراد الحج والعمرة).
- **لمصر**: لم يذكر في النص بشكل صريح، ولكن من السياق يُفهم أن مصر كانت ضمن نطاق أهل نجد أو تابعة لهم، وبالتالي فإن مواقيتها قد تكون ضمن مواقيت نجد، أي ""رن المنازل"".

وهذا يدل على أن النبي صلى الله عليه وسلم حدد مواقيت الإحرام لكل منطقة من المناطق الإسلامية حسب موقعها الجغرافي، ليتم الاعتكاف والإحرام من المواقيت المقررة لها.","المواقيت التي حددها النبي صلى الله عليه وسلم لأهل المناطق المختلفة هي كالتالي:

1. **أهل المدينة**: ميقاتهم **ذو الحليفة** (والمعروف اليوم بـ ""أبيار علي"").  
2. **أهل الشام**: ميقاتهم **الجحفة** (وهي قرية قرب رابغ).  
3. **أهل نجد**: ميقاتهم **قرن المنازل** (ويسمى اليوم ""السيل الكبير"").  
4. **أهل اليمن**: ميقاتهم **يلملم** (منطقة جنوب مكة).  

أما **أهل مصر** فلم يرد ذكرهم في الحديث النبوي الأصلي، لكن في عهد عمر بن الخطاب رضي الله عنه، تم تحديد ميقات لهم قريبًا من ميقات أهل نجد (حذو قرن) بناءً على طلبهم لتيسير الوصول."
"ما هو الآية التي ورد فيها قول الله تعالى على لسان خليله إبراهيم؟
",سورة الشعراء، الآية 748,"لم تظهر في النصوص المقدمة آية واضحة ورد فيها قول الله تعالى على لسان خليله إبراهيم. النصوص المقدمة تحتوي على تشوّش وأخطاء في الكتابة، كما أنها تتحدث عن آيات أخرى مثل حديث المسيح عيسى بن مريم عليه السلام.

إذا كنت تبحث عن آيات ورد فيها كلام الله على لسان إبراهيم الخليل -عليه السلام-، يمكن الرجوع إلى سورة البقرة أو سورة الأنعام أو غيرها من السور التي نُقل فيها كلام إبراهيم، مثل قوله تعالى: 

**""رَبَّنَا إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ""** [ال-fatihah: 5].

أو قوله:  
**""رَبِّ اجْعَلْنِي مُقِيمَ الصَّلَاةِ وَمِن ذُرِّيَّتِي رَبَّنَا وَتَقَبَّلْ دُعَاءِ""** [إبراهيم: 40].

إذا كنت تقصد آية معينة، يرجى التوضيح أكثر!",الإجابة: الآية التي ورد فيها قول الله تعالى على لسان خليله إبراهيم هي: **(وَقَالُوا آمَنَّا بِرَبِّكَ فَأَتْبَعْنَاكَ وَأَشْرَكْنَا مَعَ اللَّهِ أَحْبَارًا وَعُلَمَاءَ أَنْ نَّعْبُدَهُمْ مَّعَ اللَّهِ ذَلِكَ رَجْمٌ بِالْأَيْمانِ وَإِثْمٌ عَظِيمٌ) [الأنعام: 113]**.,"الآية التي ورد فيها قول الله تعالى على لسان خليله إبراهيم عليه السلام ليست موجودة في النص المُقدَّم، إذ أن السياق يشير إلى آيات من **سورة المائدة (117)** تتعلق بخطاب عيسى ابن مريم عليه السلام، حيث يُبرئ نفسه من اتخاذه إلهاً مع الله. 

أما الآيات التي تُذكر فيها أقوال إبراهيم عليه السلام فموجودة في مواضع أخرى من القرآن، مثل:

1. **سورة الأنبياء (آية 56-57):**  
   ﴿قَالَ بَل رَّبُّكُمْ رَبُّ السَّمَاوَاتِ وَالْأَرْضِ الَّذِي فَطَرَهُنَّ وَأَنَا عَلَىٰ ذَٰلِكُم مِّنَ الشَّاهِدِينَ * وَتَاللَّهِ لَأَكِيدَنَّ أَصْنَامَكُم بَعْدَ أَن تُوَلُّوا مُدْبِرِينَ﴾.

2. **سورة الشعراء (آيات 75-82):**  
   يُحاجّ إبراهيم قومه في عبادة الأصنام ويُعلن إيمانه بالله الواحد.

3. **سورة البقرة (آية 260):**  
   ﴿وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ أَرِنِي كَيْفَ تُحْيِي الْمَوْتَىٰ...﴾.

للأسف، النص المُرفق يحتوي على أخطاء كتابية وتشويش، ولم يُذكر فيه إبراهيم عليه السلام. يُنصح الرجوع إلى المصادر الموثوقة لاستخراج الآيات بدقة."
"كم عدد الأيام التي لا يجوز للمسلم أن يهجر فيها أخاه فوقها؟
",ثلاث ليال,"السياق المقدم يحتوي على أخطاء واضحة في كتابة الآيات القرآنية، وبالتالي لا يمكن الاعتماد عليه بشكل مباشر. لكن بناءً على فهم مبادئ الشريعة الإسلامية ونصوصها الصحيحة:

في الحديث النبوي الشريف: **""لا يحل لمسلم أن يهجر أخاه فوق ثلاث""،** رواه البخاري ومسلم.

وهذا يعني أنه لا يجوز للمسلم أن يهجر أخيه المسلم أكثر من **ثلاثة أيام**، وفي هذه المدة يكون الحد الأقصى للفتور أو القطيعة بينهما.

### الإجابة: **3 أيام**.","الإجابة: لا يُوجد عدد محدد من الأيام التي يُمنع فيها للمسلم أن يهجر فيها أخاه في الإسلام، إلا أن هناك حديثًا نبويًّا يذكر أن **""لا يهجر أحدكم أخيه أكثر من ثلاث أيام""**، وهو حديث ضعيف أو غير مقبول عند بعض العلماء.

ولكن بما أن السؤال يستند إلى النص الذي قدمته، والذي يبدو أنه مختلط وغير واضح، ولا يوجد فيه ذكر صريح لعدد الأيام الممنوعة، فإن الإجابة الأكثر دقة بناءً على ما ورد:

**لا يوجد عدد محدد في النص المقدم، ولكن الحد الأقصى الذي يُستشكل عليه هو ثلاث أيام.**","الإجابة:  
**لا يجوز للمسلم أن يهجر أخاه فوق (ثلاثة أيام)**، وذلك استنادًا إلى الحديث النبوي الشريف:  
*«لَا يَحِلُّ لِمُسْلِمٍ أَنْ يَهْجُرَ أَخَاهُ فَوْقَ ثَلَاثِ لَيَالٍ، يَلْتَقِيَانِ فَيُعْرِضُ هَذَا وَيُعْرِضُ هَذَا، وَخَيْرُهُمَا الَّذِي يَبْدَأُ بِالسَّلَامِ»* (رواه البخاري ومسلم).  

الأدلة من النص المُقدَّم (بعد تصحيح الأخطاء):  
- وجود الرقم ""3"" في النص المُشوَّش، والذي يُحتمل أن يشير إلى الثلاثة أيام.  
- الإشارة إلى حقوق المسلم على أخيه في النص: *«المسلم أخو المسلم لا يظلمه ولا يسلمه...»*، وهو جزء من الحديث السابق.  

ملاحظة: النص المُرفق به أخطاء كتابية وتحريفات، لكن السياق العام يُشير إلى الحديث النبوي المذكور."
